Fao_id;Taxon_name;Year;Mean_catch
87;Berrugate (Lobotes pacificus);2.008;145,5
87;Jurel (Caranx caninus);2.008;88,7
87;Merluza (Brotula clarkae);2.008;177
87;Pargo lunajero (Lutjanus guttatus);2.008;500
87;Pargo rojo (Lutjanus peru);2.008;199
87;Pelada (Cynoscion phoxocephalus);2.008;127,4
87;Picuda (Sphyraena ensis);2.008;294
87;Sierra (Scomberomorus sierra);2.008;476
87;Sierra (Scomberomorus sierra);2.009;1.537
87;Picuda (Sphyraena ensis);2.009;421
87;Pelada (Cynoscion phoxocephalus);2.009;168
87;Pargo rojo (Lutjanus peru);2.009;126
87;Pargo lunajero (Lutjanus guttatus);2.009;269
87;Merluza (Brotula clarkae);2.009;175
87;Jurel (Caranx caninus);2.009;53
87;Gualajo/Robalo (Centropomus armatus);2.009;123
87;Cherna rosada (Hyporthodus acanthistius);2.009;257
87;Bravo (Seriola lalandi);2.009;72
87;Berrugate (Lobotes pacificus);2.009;125
87;Pargo rojo (Lutjanus peru);2.010;250
87;Bravo (Seriola lalandi);2.010;180
87;Merluza (Brotula clarkae);2.010;327
87;Cherna rosada (Hyporthodus acanthistius);2.010;487
87;Berrugate (Lobotes pacificus);2.010;183,5
87;Gualajo/Robalo (Centropomus armatus);2.010;187
87;Jurel (Caranx caninus);2.010;108
87;Pargo lunajero (Lutjanus guttatus);2.010;269
87;Picuda (Sphyraena ensis);2.010;243
87;Sierra (Scomberomorus sierra);2.010;618
87;Merluza (Brotula clarkae);2.014;313,84
87;Sierra (Scomberomorus sierra);2.014;635,67
87;Cherna café (Epinephelus cifuentesi);2.014;9,45
87;Gualajo/Robalo (Centropomus armatus);2.014;82,87
87;Pelada (Cynoscion phoxocephalus);2.014;164,04
87;Pargo lunajero (Lutjanus guttatus);2.014;297,39
